ano_mes,forma_pagamento,quantidade,valor
2011-09,TEC,245.01,273.84
2011-09,TED,9751.67,881342.96
2011-10,Boleto,159358.73,203626.51
2011-10,Cheque,79187.39,91963.27
2011-10,DOC,20818.43,17385.77
2011-10,Pix,0.0,0.0
2011-10,TEC,252.22,284.08
2011-10,TED,9491.31,856102.54
2011-11,Boleto,164298.16,205525.64
2011-11,Cheque,82689.82,95233.28
2011-11,DOC,19875.92,16890.76
2011-11,Pix,0.0,0.0
2011-11,TEC,349.86,384.24
2011-11,TED,10045.2,885240.48
2011-12,Boleto,168696.88,213258.36
2011-12,Cheque,84656.77,99517.92
2011-12,DOC,19998.18,17899.93
2011-12,Pix,0.0,0.0
2011-12,TEC,417.35,455.82
2011-12,TED,10859.83,1033824.93
2012-01,Boleto,172575.02,214899.36
2012-01,Cheque,77015.5,94660.92
2012-01,DOC,18145.04,15799.24
2012-01,Pix,0.0,0.0
2012-01,TEC,312.83,365.73
2012-01,TED,10076.13,892299.54
2012-02,Boleto,161373.46,192053.65
2012-02,Cheque,72003.38,85582.35
2012-02,DOC,17240.98,15138.71
2012-02,Pix,0.0,0.0
2012-02,TEC,331.82,379.38
2012-02,TED,9647.66,791746.27
2012-03,Boleto,171570.12,207298.55
2012-03,Cheque,77575.2,96297.89
2012-03,DOC,18891.38,16602.53
2012-03,Pix,0.0,0.0
2012-03,TEC,393.99,496.53
2012-03,TED,10677.31,923038.87
2012-04,Boleto,175199.61,214383.97
2012-04,Cheque,74102.54,92702.38
2012-04,DOC,20141.17,16409.46
2012-04,Pix,0.0,0.0
2012-04,TEC,441.16,575.1
2012-04,TED,10088.21,940562.38
2012-05,Boleto,176401.21,214546.05
2012-05,Cheque,79357.89,98338.29
2012-05,DOC,20299.33,17218.01
2012-05,Pix,0.0,0.0
2012-05,TEC,474.96,599.08
2012-05,TED,11018.54,997164.17
2012-06,Boleto,168034.66,204481.86
2012-06,Cheque,71414.87,90157.72
2012-06,DOC,19786.87,17188.38
2012-06,Pix,0.0,0.0
2012-06,TEC,510.79,653.36
2012-06,TED,10577.78,919112.72
2012-07,Boleto,181400.34,224859.43
2012-07,Cheque,77938.9,97735.35
2012-07,DOC,21612.47,18796.2
2012-07,Pix,0.0,0.0
2012-07,TEC,756.77,992.92
2012-07,TED,11362.21,970156.48
2012-08,Boleto,182057.25,228664.37
2012-08,Cheque,77224.03,99871.25
2012-08,DOC,22161.59,18924.1
2012-08,Pix,0.0,0.0
2012-08,TEC,617.8,807.32
2012-08,TED,11870.13,989325.31
2012-09,Boleto,168098.52,204684.03
2012-09,Cheque,69267.84,88955.95
2012-09,DOC,19870.98,17169.31
2012-09,Pix,0.0,0.0
2012-09,TEC,616.15,814.22
2012-09,TED,10334.9,917888.15
2012-10,Boleto,191465.34,246718.86
2012-10,Cheque,80500.77,104781.23
2012-10,DOC,24022.55,19585.48
